Timer Tick [ms],Block-Nr,Power [kW],Force [kN],A_ges_vibr,Schlagzahl [1/min],EXZ_pos [deg],hydraulic low pressure [bar],hydraulic high pressure [bar],A_ACTpos [mm],B_ACTpos [mm],DB_ACTpos [mm],D_ACTpos [mm],L_ACTpos [mm],R_ACTpos [mm],SBA_ActPos [mm],INDA_ACTpos [deg],A_ACT_Force [kN],B_ACT_Force [kN],DB_ACT_Force [kN],D_ACT_Force [kN],L_ACTspd [mm/min],R_ACTspd [mm/min],SBA_NomPos [mm] [mm],INDA_NOMspd [U/min],A_ACTspd [mm/min],B_ACTspd [mm/min],DB_ACTspd [mm/min],D_ACTspd [mm/min],L_NOMpos [mm],R_NOMpos [mm],SBA_OUT [%],INDA_NOMpos [deg],A_NOMpos [mm],B_NOMpos [mm],DB_NOMpos [mm],D_NOMpos [mm],L_OUT [%],R_OUT [%],Feedback SBA [%],INDA_OUT [%],A_OUT [%],B_OUT [%],DB_OUT [%],D_OUT [%],L_NOMspd [mm/min],R_NOMspd [mm/min],Frc_Volt,INDA_ACTspd [U/min],A_NOMspd [mm/min],B_NOMspd [mm/min],DB_NOMspd [mm/min],D_NOMspd [mm/min],Feedback L [%],Feedback R [%],Speed Vn_1 [rpm],NOMforceSPA [kN],A_NOM_Force [kN],B_NOM_Force [kN],DB_NOM_Force [kN],D_NOM_Force [kN],$F_F41L (I14S8),IP_ActSpd [mm/min],IP_ActPos [mm],SPA_OUT [%],Feedback A [%],Feedback B [%],Feedback DB [%],Feedback D [%],IP_NomSpd [mm/min],IP_NomPos,Feedback_SPA [%],Lub_ActSpd [rpm],RamRetract_ActSpd [rpm],Hyd_ActSpd [rpm],ForgingBox_Temp,TMP_Ind_U1 [°C],TMP_Ind_F [°C],IP_Out [%],ACTforceSPA [kN],$U_GH_HEATON_1 (U25S0),W2 Durchfluss [l],W1 Durchfluss [l],$E_GH_FAULT_2 (I26S21),$E_GH_FAULT_1 (I25S21),$B12R_Y11 (U14S16),L1.R_B41 [bar],O_EMERG,STP || EM,O_MASTOP,c01w,c02w,$U_GH_NOMVAL_1 (U25W1),$H1P_Y12 (U11S17),$H1P_Y11 (U11S7),$U_GH_NOMEXT_2 (U26S1),$U_GH_HEATON_2 (U26S0),$U_GH_NOMEXT_1 (U25S1),$U_GH_HEATON_1 (U25S0)
2595188572,10,49.0474248,0,0.028544064,1207.50198,154.207695,114.954577,202.362326,1199.99,89.95,499.74,700,94.9000573,94.9000538,-0.025,1.02,0.219736227,1.73643522,1.26936587,-0.24280607,0.051445172,0.051458896,0,0,-0.019016824,-2.65768989,-528.72847,1.59E-73,94.9,94.9,-10,44.0000995,1200,90,350,700,0.244141362,0.163746498,-9.66796875,0,0,1.44014505,-6.868,-1.22866667,0,0,1.68457031,-1.15E-51,0,60,-2450,0,1.19628906,0.830078125,0,0.925615797,0,0,10,5,0,0,40.0585938,50,0.952148438,0.756835938,-4.78515625,-0.09765625,0,40,53.3203125,1325.7,613.5,799.2,36.2504248,647.960853,242.645438,-0.146484375,0.925615797,1,0.060753287,0.025830587,0,0,1,35.2020815,0,0,0,2,0,0,0,1,1,0,1,1
2595188582,10,49.0492342,0,0.03146355,1206.89919,226.673516,114.943743,202.331999,1199.99,89.95,499.485,700,94.9000642,94.9000607,-0.025,1.02,0.316874898,1.85896452,1.66176821,-0.214617594,0.044939795,0.04494675,0,0,-0.016097332,-2.8506728,-931.254247,9.63E-74,94.9,94.9,-10,44.0000995,1200,90,350,700,0.241092434,0.162023403,-9.66796875,0,0,1.48162341,-7.64266667,-1.22866667,0,0,1.71386719,-1.04E-51,0,60,-2800,0,1.07421875,0.5859375,0,0.869667066,0,0,10,5,0,0,40.0585938,50,0.952148438,1.3671875,-5.39550781,-0.09765625,0,40,53.4423828,1325.7,613.5,799.2,36.2507658,647.409235,242.658399,-0.146484375,0.869667066,1,0.061105374,0.025846879,0,0,1,35.2869212,0,0,0,2,0,0,0,1,1,0,1,1
2595188592,10,49.0493311,0,0.033934832,1207.20474,298.963555,114.925339,202.290709,1199.99,89.95,499.265,700,94.900071,94.9000675,-0.025,1.02,-0.113989359,2.09864225,1.2193854,-0.396194742,0.04094834,0.040950645,0,0,-0.013626044,-2.41303312,-1073.99612,5.84E-74,94.9,94.9,-10,44.0000995,1200,90,350,700,0.236827808,0.15959507,-9.66796875,0,0,1.50400363,-8.41733333,-1.22866667,0,0,1.68945313,-9.38E-52,0,60,-3150,0,0.952148438,0.708007813,0,0.813718336,0,0,10,5,0,0,40.0585938,50,0.952148438,1.48925781,-6.49414063,-0.09765625,0,40,53.4423828,1325.7,599.4,799.2,36.2513335,647.788569,242.653707,-0.146484375,0.813718336,1,0.061362853,0.026014851,0,0,1,35.4596265,0,0,0,2,0,0,0,1,1,0,1,1
2595188602,10,49.0510983,0,0.036026719,1205.47644,11.3854297,114.892935,202.336714,1199.99,89.945,498.95,700,94.9000823,94.9000789,-0.025,1.02,0.365444234,1.49675748,1.48127505,-0.371941813,0.047658448,0.047661214,0,0,-0.011534153,-4.63069829,-1390.47722,3.54E-74,94.9,94.9,-10,44.0000995,1200,90,350,700,0.23338893,0.157645761,-9.66796875,0,0,1.52569284,-9.192,-1.22866667,0,0,1.62109375,-8.49E-52,0,60,-3500,0,1.07421875,0.708007813,0,0.813718336,0,0,10,5,0,0,40.0585938,50,0.952148438,1.3671875,-7.2265625,-0.219726563,0,40,53.3203125,1325.7,599.4,799.2,36.25167,648.973145,242.665768,-0.146484375,0.813718336,1,0.061545645,0.026264663,0,0,1,35.4019489,0,0,0,2,0,0,0,1,1,0,1,1
2595188612,10,49.0525593,0,0.007732861,1206.15533,83.6754688,114.886371,202.389099,1199.99,89.955,498.64,700,94.9000891,94.9000856,-0.025,1.02,0.316874898,1.97611295,2.4643854,-0.396194742,0.042411626,0.042411417,0,0,-0.009763412,3.23632961,-1580.07757,2.15E-74,94.9,94.9,-10,44.0000995,1200,90,350,700,0.230518551,0.156026244,-9.66796875,0,0,1.54896786,-9.96666667,-1.22866667,0,0,1.63085938,-7.68E-52,0,0,-3850,0,0.952148438,0.708007813,0,0.757769605,0,0,10,5,0,0,40.0585938,50,0.952148438,1.61132813,-8.203125,-0.09765625,0,40,53.3203125,1325.7,599.4,799.2,36.2518526,650.907016,242.652968,-0.146484375,0.757769605,1,0.061711435,0.026447458,0,0,1,35.2531946,0,0,0,2,0,0,0,1,1,0,1,1
2595188622,10,49.0537166,0,0.009231752,1205.17447,156.141289,114.90008,202.365179,1199.99,89.945,498.31,700,94.9000927,94.9000892,-0.025,1.02,0.077158102,1.61390592,2.50125063,-0.214617594,0.033043247,0.033042537,0,0,-0.008264518,-6.64949968,-1738.2723,1.30E-74,94.9,94.9,-10,44.0000995,1200,90,350,700,0.227569813,0.154361271,-9.66796875,0,0,0,-10.7413333,-1.22866667,0,0,1.68457031,-6.95E-52,0,60,-4200,0,1.07421875,0.5859375,0,0.757769605,0,0,10,5,0,0,40.0585938,50,0.952148438,0.87890625,-8.93554688,-0.09765625,0,40,53.4423828,1325.7,599.4,799.2,36.2520343,652.834428,242.64926,-0.146484375,0.757769605,1,0.061841411,0.026814438,0,0,1,35.3529228,0,0,0,2,0,0,0,1,1,0,1,1
2595188632,10,49.0537359,0,0.010500531,1206.03426,228.431328,114.910429,202.264085,1199.99,89.95,497.615,700,94.9000964,94.9000929,-0.025,1.02,0.69916982,1.73643522,1.12511782,-0.137923258,0.027321484,0.027319893,0,0,-0.006995736,-1.70223046,-2679.39183,7.90E-75,94.9,94.9,-10,44.0000995,1200,90,350,700,0.225256008,0.153064629,-9.54589844,0,0,1.47367459,-11.516,-1.22866667,0,0,1.71386719,-6.29E-52,0,60,-4550,0,1.19628906,0.708007813,0,0.813718336,0,0,10,5,0,0,40.0585938,50,0.952148438,0.634765625,-9.66796875,-0.09765625,0,40,53.3203125,1325.7,599.4,799.2,36.2520628,654.357607,242.645076,-0.146484375,0.813718336,1,0.061909357,0.027067683,0,0,1,35.5585369,0,0,0,2,0,0,0,1,1,0,1,1
2595188642,10,49.0544476,0,0.011574525,1205.05259,300.897148,114.959658,202.242948,1199.99,89.945,496.99,700,94.9000969,94.9000935,-0.025,1.02,0.028588766,1.73643522,2.02113833,-0.267059,0.017714553,0.017713588,0,0,-0.00592174,-7.93467618,-3105.97368,4.79E-75,94.9,94.9,-10,44.0000995,1200,90,350,700,0.223286398,0.151967658,-9.66796875,0,0,1.47588321,-12.2906667,-1.22866667,0,0,1.68945313,-5.69E-52,0,60,-4900,0,1.07421875,0.830078125,0,0.757769605,0,0,10,5,0,0,40.0585938,50,0.952148438,1.3671875,-10.2783203,-0.09765625,0,40,53.3203125,1325.7,599.7,799.2,36.2520151,655.742013,242.637072,-0.146484375,0.757769605,1,0.061953851,0.027151382,0,0,1,35.7150211,0,0,0,2,0,0,0,1,1,0,1,1
2595188652,10,49.0548719,0,5.09468148,1206.80591,13.3629687,114.910608,202.275088,1199.99,89.94,496.41,700,94.900096,94.9000925,-0.025,1.02,0.316874898,1.61928678,1.66052798,-0.525330484,0.008827422,0.008827067,0,0,-0.174440952,-7.3755163,-3244.82577,2.91E-75,94.9,94.9,-10,44.0000995,1200,90,350,700,0.221337257,0.150882561,-9.66796875,0,0,1.53493175,-13.0653333,-1.22866667,0,0,1.62597656,-5.15E-52,0,60,-5250,0,1.19628906,0.5859375,0,0.757769605,0,0,10,5,0,0,40.0585938,50,0.952148438,1.3671875,-11.3769531,-0.09765625,0,40,53.4423828,1325.7,599.4,799.2,36.2519677,657.068584,242.651766,-0.146484375,0.757769605,1,0.061967534,0.02736711,0,0,1,35.8313082,0,0,0,2,0,0,0,1,1,0,1,1
2595188662,10,49.0555594,0,5.09468148,1203.94899,85.6090625,114.740384,202.297916,1199.99,89.945,495.635,700,94.900095,94.9000915,-0.025,1.02,0.077158102,1.61928678,2.49828188,-0.371941813,0.003449123,0.003449021,0,0,-0.147660509,-3.63464255,-3794.75133,1.76E-75,94.9,94.9,-10,44.0000995,1200,90,350,700,0.219408481,0.149809278,-9.66796875,0,0,1.53757974,-13.84,-1.22866667,0,0,1.63085938,-4.66E-52,0,60,-5600,0,1.07421875,0.5859375,0,0.813718336,0,0,10,5,0,0,40.0585938,50,1.07421875,1.48925781,-12.109375,-0.09765625,0,40,53.3203125,1325.7,599.4,799.2,36.2519204,658.313653,242.636204,-0.146484375,0.813718336,1,0.061908956,0.027519954,0,0,1,35.5975794,0,0,0,2,0,0,0,1,1,0,1,1
