"Timer Tick [ms]","Block-Nr","Power [kW]","Force [kN]","A_ges_vibr","Schlagzahl [1/min]","EXZ_pos [deg]","hydraulic low pressure [bar]","hydraulic high pressure [bar]","A_ACTpos [mm]","B_ACTpos [mm]","DB_ACTpos [mm]","D_ACTpos [mm]","L_ACTpos [mm]","R_ACTpos [mm]","SBA_ActPos [mm]","INDA_ACTpos [deg]","A_ACT_Force [kN]","B_ACT_Force [kN]","DB_ACT_Force [kN]","D_ACT_Force [kN]","L_ACTspd [mm/min]","R_ACTspd [mm/min]","SBA_NomPos [mm] [mm]","INDA_NOMspd [U/min]","A_ACTspd [mm/min]","B_ACTspd [mm/min]","DB_ACTspd [mm/min]","D_ACTspd [mm/min]","L_NOMpos [mm]","R_NOMpos [mm]","SBA_OUT [%]","INDA_NOMpos [deg]","A_NOMpos [mm]","B_NOMpos [mm]","DB_NOMpos [mm]","D_NOMpos [mm]","L_OUT [%]","R_OUT [%]","Feedback SBA [%]","INDA_OUT [%]","A_OUT [%]","B_OUT [%]","DB_OUT [%]","D_OUT [%]","L_NOMspd [mm/min]","R_NOMspd [mm/min]","Frc_Volt","INDA_ACTspd [U/min]","A_NOMspd [mm/min]","B_NOMspd [mm/min]","DB_NOMspd [mm/min]","D_NOMspd [mm/min]","Feedback L [%]","Feedback R [%]","Speed Vn_1 [rpm]","NOMforceSPA [kN]","A_NOM_Force [kN]","B_NOM_Force [kN]","DB_NOM_Force [kN]","D_NOM_Force [kN]","$F_F41L (I14S8)","IP_ActSpd [mm/min]","IP_ActPos [mm]","SPA_OUT [%]","Feedback A [%]","Feedback B [%]","Feedback DB [%]","Feedback D [%]","IP_NomSpd [mm/min]","IP_NomPos","Feedback_SPA [%]","Lub_ActSpd [rpm]","RamRetract_ActSpd [rpm]","Hyd_ActSpd [rpm]","ForgingBox_Temp","TMP_Ind_U1 [°C]","TMP_Ind_F [°C]","IP_Out [%]","ACTforceSPA [kN]","$U_GH_HEATON_1 (U25S0)","W2 Durchfluss [l]","W1 Durchfluss [l]","$E_GH_FAULT_2 (I26S21)","$E_GH_FAULT_1 (I25S21)","$B12R_Y11 (U14S16)","L1.R_B41 [bar]","O_EMERG","STP || EM","O_MASTOP","c01w","c02w","$U_GH_NOMVAL_1 (U25W1)","$H1P_Y12 (U11S17)","$H1P_Y11 (U11S7)","$U_GH_NOMEXT_2 (U26S1)","$U_GH_HEATON_2 (U26S0)","$U_GH_NOMEXT_1 (U25S1)","$U_GH_HEATON_1 (U25S0)"
2607546329,10,46.2976492,0,2.64656917,1206.68752,247.63543,114.767778,202.496138,1199.965,89.955,500,700,94.899966,94.8998666,-0.015,0.084,1.47940908,3.05197233,-0.241112648,0.314371664,0.0110257229,0.010798886,0,0,0.16351949,-0.884594773,1.78923346e-059,-2.98727029e-025,94.9,94.9,-10,6.28465138,1200,90,350,700,0.171145854,0.130570618,-9.66796875,0,0,-0,-3.87939394,-1.19779165,0,0,1.10839844,-1.40117923e-026,0,0,-1050,0,1.07421875,0.463867188,0,0.981564527,0,0,10,5,0,0,40.0585938,50,0.708007813,0.146484375,-1.73339844,-0.219726563,0,40,53.4423828,1307.4,605.1,799.2,42.8616168,646.036268,242.764936,-0.146484375,0.981564527,1,0.0598255458,0.0252117598,0,0,1,34.2022232,0,0,0,2,0,0,0,1,1,0,1,1
2607546339,10,46.292753,0,2.57082776,1206.92004,320.145195,114.758818,202.510864,1199.965,89.955,500,700,94.8999679,94.8998685,-0.015,0.084,1.91027334,3.16912077,1.69987368,0.314371664,0.0105004242,0.0103623993,0,0,0.138415726,1.41869826,1.08511187e-059,-1.81168222e-025,94.9,94.9,-10,6.28465138,1200,90,350,700,0.171428409,0.132038996,-9.66796875,0,0,-0,-4.60590909,-1.19779165,0,0,1.0546875,-1.26783834e-026,0,0,-1400,0,1.07421875,0.5859375,0,0.925615797,0,0,10,5,0,0,40.0585938,50,0.708007813,-0.09765625,-2.58789063,-0.09765625,0,40,53.3203125,1307.4,599.4,799.2,42.8617115,645.92089,242.775779,-0.146484375,0.925615797,1,0.059458028,0.0251431054,0,0,1,34.2757462,0,0,0,2,0,0,0,1,1,0,1,1
2607546349,10,46.2873942,0,2.57082776,1205.75461,32.3912891,114.759293,202.467407,1199.965,89.955,499.98,700,94.8999698,94.8998704,-0.015,0.084,1.91027334,3.4087985,1.78102602,0.261930258,0.0101553583,0.0100716507,0,0,0.117165931,1.44740975,-52.646054,-1.09872631e-025,94.9,94.9,-10,6.28465138,1200,90,350,700,0.172026783,0.133690583,-9.66796875,0,0,-0,-5.33242424,-1.19779165,0,0,1.015625,-1.14718661e-026,0,0,-1750,0,1.07421875,0.708007813,0,0.925615797,0,0,10,5,0,0,40.0585938,50,0.708007813,0.0244140625,-3.3203125,-0.09765625,0,40,53.4423828,1307.4,599.4,799.2,42.8617296,646.468072,242.807882,-0.146484375,0.925615797,1,0.0591093511,0.0250409701,0,0,1,34.1687015,0,0,0,2,0,0,0,1,1,0,1,1
2607546359,10,46.2802099,0,2.57082776,1206.37438,104.901055,114.744938,202.437922,1199.965,89.955,499.86,700,94.8999702,94.8998708,-0.015,0.084,1.91027334,3.29165006,1.52296938,0.286183187,0.00688478561,0.00683391837,0,0,0.0991784365,1.459014,-311.089023,-6.66341755e-026,94.9,94.9,-10,6.28465138,1200,90,350,700,0.172973841,0.135544446,-9.54589844,0,0,-0,-6.09333333,-1.19779165,0,0,1.03515625,-1.03801651e-026,0,0,-2100,0,1.07421875,0.5859375,0,0.869667066,0,0,10,5,0,0,40.0585938,50,0.708007813,0.146484375,-4.17480469,-0.09765625,0,40,53.4423828,1307.4,603.9,799.2,42.8616715,646.527088,242.798145,-0.146484375,0.869667066,1,0.0587945118,0.024939851,0,0,1,34.2483194,0,0,0,2,0,0,0,1,1,0,1,1
2607546369,10,46.2759389,0,0.136777074,1207.30392,177.235039,114.712378,202.4641,1199.965,89.955,499.7,700,94.899969,94.8998696,-0.015,0.084,2.14999013,3.64847623,1.4950104,0.286183187,0.00184112056,0.00181059746,0,0,0.0839524101,1.63973713,-562.363088,-4.04114591e-026,94.9,94.9,-10,6.28465138,1200,90,350,700,0.173945833,0.137412774,-9.54589844,0,0,-0,-6.868,-1.19779165,0,0,1.09375,-9.39235394e-027,0,0,-2450,0,0.830078125,0.5859375,0,0.925615797,0,0,10,5,0,0,40.0585938,50,0.5859375,0.0244140625,-5.15136719,-0.219726563,0,40,53.3203125,1307.4,611.4,799.2,42.8616137,646.512461,242.77925,-0.146484375,0.925615797,1,0.0585093773,0.0250409271,0,0,1,34.5186613,0,0,0,2,0,0,0,1,1,0,1,1
2607546379,10,46.2738452,0,0.149665551,1206.09991,249.744805,114.686606,202.5072,1199.965,89.95,499.42,700,94.8999679,94.8998685,-0.015,0.084,1.6219872,3.05197233,2.17280825,0.314371664,-0.00119935065,-0.0012176775,0,0,0.0710639067,-3.27511495,-994.949323,-2.45082349e-026,94.9,94.9,-10,6.28465138,1200,90,350,700,0.174942636,0.139295494,-9.66796875,0,0,-0,-7.64266667,-1.19779165,0,0,1.10351563,-8.49854621e-027,0,60,-2800,0,1.07421875,0.5859375,0,0.869667066,0,0,10,5,0,0,40.0585938,50,0.708007813,0.0244140625,-5.76171875,-0.219726563,0,40,53.3203125,1307.4,611.4,799.2,42.8615561,647.152863,242.788202,-0.146484375,0.869667066,1,0.058230876,0.0252169179,0,0,1,34.7985774,0,0,0,2,0,0,0,1,1,0,1,1
2607546389,10,46.272893,0,0.16057537,1208.97289,322.25457,114.664652,202.513844,1199.965,89.95,499.19,700,94.8999667,94.8998673,-0.015,0.084,1.91027334,3.77100553,1.27468325,0.314371664,-0.00303170086,-0.00304254027,0,0,0.0601540662,-2.77231426,-1165.06175,-1.48634469e-026,94.9,94.9,-10,6.28465138,1200,90,350,700,0.175964124,0.141192534,-9.66796875,0,0,1.45896571,-8.41733333,-1.19779165,0,0,1.04980469,-7.6897962e-027,0,60,-3150,0,1.07421875,0.5859375,0,0.869667066,0,0,10,5,0,0,40.0585938,50,0.708007813,0.756835938,-6.73828125,-0.09765625,0,40,53.4423828,1307.4,616.2,799.2,42.8614989,648.482547,242.759506,-0.146484375,0.869667066,1,0.0579133897,0.025300053,0,0,1,35.048327,0,0,0,2,0,0,0,1,1,0,1,1
2607546399,10,46.2727932,0,2.52085687,1205.17305,34.5006641,114.64669,202.514076,1199.96,89.95,498.885,700,94.8999656,94.8998662,-0.015,0.084,1.76769521,3.16912077,1.89866763,0.290118734,-0.00413297611,-0.00413922994,0,0,-2.42332278,-2.3467043,-1405.51868,-9.0141969e-027,94.9,94.9,-10,6.28465138,1200,90,350,700,0.177366626,0.143310605,-9.66796875,0,0,1.48112182,-9.192,-1.19779165,0,0,1.00585938,-6.95800954e-027,0,60,-3500,0,0.952148438,0.708007813,0,0.869667066,0,0,10,5,0,0,40.0585938,50,0.708007813,1.48925781,-7.34863281,-0.09765625,0,40,53.3203125,1307.4,614.7,799.2,42.8613658,650.381637,242.736486,-0.146484375,0.869667066,1,0.0575762863,0.0253064405,0,0,1,34.7825039,0,0,0,2,0,0,0,1,1,0,1,1
2607546409,10,46.2696379,0,5.22179169,1208.80446,107.01043,114.633728,202.498655,1199.965,89.95,498.535,700,94.8999629,94.8998635,-0.015,0.084,1.67055654,3.4087985,2.36776919,0.160982992,-0.00777745826,-0.00778104347,0,0,0.329624603,-1.98643464,-1676.18236,-5.46681709e-027,94.9,94.9,-10,6.28465138,1200,90,350,700,0.17882623,0.145461801,-9.66796875,0,0,1.5033691,-9.96666667,-1.19779165,0,0,1.03515625,-6.29586214e-027,0,60,-3850,0,1.07421875,0.708007813,0,0.869667066,0,0,10,5,0,0,40.0585938,50,0.708007813,1.61132813,-8.203125,-0.09765625,0,40,53.3203125,1307.4,614.7,799.2,42.8612334,652.17148,242.750656,-0.146484375,0.869667066,1,0.0572804974,0.0253772968,0,0,1,34.4479032,0,0,0,2,0,0,0,1,1,0,1,1
2607546419,10,46.264879,0,5.22179169,1207.77318,179.344414,114.624858,202.47563,1199.965,89.95,498.215,700,94.8999602,94.8998609,-0.015,0.084,1.95884267,2.92944303,2.72837954,0.213424398,-0.0100245459,-0.0100260858,0,0,-2.00569162,-4.13488298,-1776.97936,-3.31544667e-027,94.9,94.9,-10,6.28465138,1200,90,350,700,0.179986201,0.147439177,-9.66796875,0,0,1.5256536,-10.7413333,-1.19779165,0,0,1.09863281,-5.6967269e-027,0,60,-4200,0,0.952148438,0.708007813,0,0.813718336,0,0,10,5,0,0,40.0585938,50,0.708007813,1.73339844,-8.93554688,-0.09765625,0,40,53.4423828,1307.4,607.5,799.2,42.8611778,653.503012,242.758342,-0.146484375,0.813718336,1,0.0570066318,0.0255043884,0,0,1,34.5271935,0,0,0,2,0,0,0,1,1,0,1,1
